year,gdp_real_2015_usd,population,co2_mt,energy_ej,gdp_per_capita,energy_intensity,carbon_intensity,population_pp,gdp_per_capita_pp,energy_intensity_pp,carbon_intensity_pp,co2_growth_pct,sum_factors
2001,132391536300.246,10216605,125.0885101,1.743559235,12958.466760753303,1.3169718274481268e-11,71.74319494800531,-0.37571970433590546,3.251198225657633,-0.6364477963228561,-1.4430287348898994,0.7960019901089738,0.7960019901089723
2002,134395228572.192,10196916,120.7810023,1.750279443,13179.987809274098,1.3023374874204082e-11,69.0066964924069,-0.1929016175641674,1.6950225704615316,-1.1174313946879675,-3.888945570877504,-3.504256012668108,-3.5042560126681073
2003,138831395778.178,10193998,123.99705,1.865646045,13618.934963316455,1.3438214278136997e-11,66.46333066892117,-0.028620590719166044,3.276149700523448,3.1356649937233425,-3.755317344050071,2.6278767594775543,2.6278767594775534
2004,145406922288.089,10197101,124.8437682,1.911128327,14259.633427980069,1.3143310489809811e-11,65.32463908165388,0.030434848302694415,4.597160720507806,-2.2189538868754926,-1.7281090635946401,0.6805326183403573,0.6805326183403677
2005,154676655549.654,10211216,123.4256338,1.879295673,15147.721441761098,1.2149833899121981e-11,65.67653806331091,0.13832598004671817,6.041741241744676,-7.8597422349754265,0.5372468183005485,-1.1424281948834774,-1.1424281948834836
2006,164921158024.599,10238905,125.9692006,1.916349712,16107.304250268851,1.1619792966249756e-11,65.7339314485205,0.27079562923218525,6.1422728489194895,-4.460556459200567,0.08734979651474695,2.039861815465889,2.039861815465855
2007,173973393346.007,10298828,125.5538125,1.899921565,16892.54285497408,1.0920759367044942e-11,66.08368198610346,0.5835422053851353,4.759942411449042,-6.204442724123983,0.5306595214646117,-0.33029858582517135,-0.3302985858251948
2008,178518044754.249,10384603,120.3261953,1.865217558,17190.647033328958,1.0448341850078465e-11,64.51054183138886,0.8294126029930333,1.7493185422855422,-4.422221581867831,-2.409319809577091,-4.25281024616636,-4.252810246166346
2009,169952170270.619,10443936,113.5314104,1.789253501,16272.808476671917,1.0527982656243388e-11,63.45183079789877,0.5697294514180614,-5.486993557049052,0.7593436001280428,-1.6547601766402729,-5.812680682143209,-5.81268068214322
2010,174565802522.079,10474410,116.5233221,1.860930057,16665.93178251367,1.0660335702146647e-11,62.61563762791113,0.29136167418039743,2.387109952225373,1.2493182812131407,-1.326599865348933,2.6011900422699834,2.6011900422699785
2011,177659773382.538,10496088,113.0739503,1.815787811,16926.284667443528,1.0220590606576065e-11,62.27266733205315,0.20674766733541744,1.5501096720796084,-4.212553760146219,-0.5492446361014981,-3.0049410568326875,-3.0049410568326906
