year,gdp_real_2015_usd,population,co2_mt,energy_ej,gdp_per_capita,energy_intensity,carbon_intensity,population_pp,gdp_per_capita_pp,energy_intensity_pp,carbon_intensity_pp,co2_growth_pct,sum_factors
2006,12788499501424.8,437263803,3714.996439,66.9186126,29246.64564888487,5.232718083348591e-12,55.51514436209336,0.3378180936061212,3.1675600790527683,-2.8425011472937936,0.12077179025364072,0.7836488156187353,0.7836488156187364
2007,13190293140115.9,438796003,3661.114771,65.9960101,30060.1943726363,5.003377059095452e-12,55.47478954337574,0.34979382726715236,2.743696202832707,-4.4817756818368855,-0.07271798275014217,-1.4610036344871669,-1.461003634487168
2008,13271807422071.9,440270719,3587.072833,65.63453801,30144.651573051582,4.945410668093736e-12,54.652214242042476,0.3355188739455039,0.2805663048904612,-1.165308750156956,-1.4938944509282406,-2.0431180222492284,-2.0431180222492316
2009,12699515364509.5,441388573,3308.100405,61.41333387,28771.73570261299,4.835880118829401e-12,53.866158968060596,0.2535797238573904,-4.661400746883746,-2.2396865642369224,-1.4487298305464384,-8.096237417809714,-8.096237417809718
2010,12976593517674.0,442088310,3389.261988,63.69729915,29352.944251509387,4.908630224353168e-12,53.20888064686492,0.15840530969873928,1.9999350416582315,1.4931783053698096,-1.2277120407807738,2.4238066159460288,2.423806615946007
2011,13231012723603.5,441414078,3303.681918,61.93504454,29974.152123900996,4.681050939472745e-12,53.34107600207435,-0.1526271213395928,2.0942557948990133,-4.747228173884416,0.2481379198959003,-2.5574615804291123,-2.5574615804290954
2012,13129872603290.2,442069839,3223.932178,60.83039685,29700.901181114506,4.632976928866513e-12,52.99870369002861,0.14844890955167717,-0.9158026258339228,-1.0323017753665042,-0.6439236493437095,-2.44357914099246,-2.443579140992459
2013,13125534418029.3,442425741,3153.140786,59.97788846,29667.203333065787,4.5695578214029955e-12,52.57172046166428,0.08047570327210886,-0.11352173677564485,-1.3783183262254135,-0.8089113216175824,-2.2202756813465325,-2.220275681346532
2014,13339837928675.8,442920819,2991.049497,57.91785079,30117.88418253557,4.341720724020018e-12,51.6429642364497,0.11183825045928494,1.507698342151691,-5.114569369651905,-1.7824375081917339,-5.2774702852326385,-5.277470285232663
2015,13656252620703.3,443793218,3046.425364,58.60286075,30771.656859126,4.291284174192578e-12,51.9842431753641,0.1967712802738222,2.147488025915718,-1.1684720273868918,0.6586690528258421,1.8344563316284872,1.8344563316284908
2016,13918449980505.1,444676652,3073.398527,59.17191205,31300.15915588278,4.2513291446159046e-12,51.94015911473321,0.19886646041229705,1.7029147925958308,-0.9354355496869594,-0.0848387141106567,0.8815069892105346,0.8815069892105118
2017,14310687274644.1,445321060,3133.319777,60.39610702,32135.662469329654,4.2203498588786e-12,51.87949905384481,0.14481118410151855,2.6343211421287394,-0.7313644393987359,-0.11685661243990753,1.93091127439161,1.9309112743916148
2018,14603544059407.1,446329890,3078.938448,59.88007567,32719.17114806517,4.100379704160054e-12,51.41841277836849,0.22628371123708377,1.799478594614227,-2.883844936613644,-0.8927369965100114,-1.7508196272723444,-1.7508196272723444
2019,14877396575749.2,446910453,2942.348504,58.88035594,33289.43522327772,3.9577056133582895e-12,49.971649407118036,0.12999034051699915,1.727890633329372,-3.5415113404168355,-2.8540500815365006,-4.537680448106951,-4.537680448106965
2020,14047404390856.4,446870959,2582.432274,53.59035951,31435.03534508359,3.814965243321572e-12,48.18837375998786,-0.008837507581933822,-5.731703986568792,-3.6732912625504786,-3.633804909634528,-13.047637666335735,-13.047637666335731
2021,14943312743921.6,446227358,2772.570634,56.75744316,33488.11424493969,3.798183450526181e-12,48.84946325337606,-0.14412771789191967,6.326753099586811,-0.4408641063326702,1.362560711788809,7.104321987151034,7.10432198715103
2022,15475526647498.2,447202673,2754.021513,54.15957989,34605.17474925334,3.499692199409287e-12,50.85012695064315,0.21833055831755535,3.2812652891219227,-8.18478914976591,4.013922828257079,-0.671270474069342,-0.6712704740693534
2023,15545835479247.4,448897545,2525.786491,51.711372,34631.14390444572,3.326381014968996e-12,48.843927231325445,0.3782777834455941,0.07501599425034997,-5.0790090877564005,-4.025256291102558,-8.650971601163018,-8.650971601163015
2024,15711329898680.8,450228188,2483.505975,52.01779221,34896.371034593685,3.3108459019988923e-12,47.743394509591774,0.29598618360440876,0.7629451934806706,-0.4681214469188807,-2.278933367165201,-1.688123436998982,-1.688123436999002
