year,gdp_real_2015_usd,population,co2_mt,energy_ej,gdp_per_capita,energy_intensity,carbon_intensity,population_pp,gdp_per_capita_pp,energy_intensity_pp,carbon_intensity_pp,co2_growth_pct,sum_factors
1990,2364190062225.0,79433029,1007.605892,15.07587861,29763.312465712468,6.3767625331322576e-12,66.8356331372716,,,,,,
1991,2484959073005.6,80013896,969.7032215,14.71535693,31056.59388221266,5.921770338133387e-12,65.89736328604297,0.7286055465613639,4.253463944750526,-7.402508082265433,-1.4137938643902468,-3.8342324553437708,-3.8342324553437894
1992,2534996542114.29,80624598,923.715798,14.40967991,31441.974347757863,5.684299631423458e-12,64.10383879234969,0.7603469467211273,1.2332613720011865,-4.09275240614159,-2.7594180184467354,-4.858562105865996,-4.858562105866011
1993,2510330187123.32,81156363,916.2724361,14.33723635,30932.01930603174,5.71129504140233e-12,63.908581384305634,0.6573912180876265,-1.6351892018976892,0.4737876565837919,-0.30506033586373216,-0.8090706630900217,-0.809070663090003
1994,2575519839599.45,81438348,896.9314949,14.19013719,31625.39396795537,5.509620610108318e-12,63.20809185214086,0.3468566486302334,2.216853356394279,-3.5950034294878503,-1.1021317738866774,-2.133425198350015,-2.1334251983500154
1995,2614281254585.26,81678051,889.4009779,14.25255041,32007.145402934013,5.451804539011271e-12,62.40293507581427,0.2939044437166972,1.1998767260209844,-1.0549104058010883,-1.28200178515052,-0.8431310212139023,-0.8431310212139269
1996,2641414240990.66,81914831,914.8445439,14.74502701,32245.860837955708,5.582247108832839e-12,62.04427725222594,0.2894748994554484,0.7430517179759157,2.3644741057948866,-0.5764031349260633,2.8205975883001746,2.8205975883001875
1997,2690394576515.06,82034771,887.9933651,14.55385548,32795.7833455165,5.409561707804213e-12,61.0143041697979,0.1463132815618247,1.6910261692052553,-3.142332862120652,-1.67399481207199,-2.978988223425547,-2.978988223425562
1998,2746774816494.42,82047195,879.0361973,14.41564263,33477.985645876375,5.248206931064706e-12,60.97794041249759,0.015143650855258567,2.058812733059151,-3.028159305672339,-0.05961650841303722,-1.013819430170944,-1.0138194301709667
1999,2805269313430.67,82100243,855.9154738,14.20027709,34168.83082100829,5.062001363653012e-12,60.274561431110776,0.06463457790525941,2.0425771089613507,-3.6124549813392046,-1.160201827825621,-2.665445122298231,-2.665445122298215
2000,2885963533943.47,82211508,854.4283176,14.2308228,35104.130846784494,4.931047337439694e-12,60.04068279172164,0.13543160039308444,2.7004962482643795,-2.6210524349660504,-0.388776892711302,-0.17390147901988104,-0.17390147901988828
2001,2933181986968.52,82349925,871.6725617,14.51751142,35618.5143698494,4.949406986848446e-12,60.042836301760595,0.16822536133733473,1.4546757749323442,0.3716361603851973,0.0035866870915071633,1.9981239837463967,1.9981239837463836
2002,2926486831428.63,82488495,859.0473112,14.30036637,35477.51515443008,4.8865302301801094e-12,60.07169949171029,0.16812831940693135,-0.39664493564877046,-1.2785281520769576,0.04805944645179853,-1.4589853218669997,-1.4589853218669981
2003,2910982263391.97,82534176,861.9914328,14.32143263,35270.02272842671,4.91979384763142e-12,60.18891091903282,0.05536330358730188,-0.586573122235991,0.6784141491944775,0.1949291027819877,0.3421334333278093,0.3421334333277761
2004,2944810405337.25,82516260,847.5257709,14.26829618,35687.63787085418,4.845234231086583e-12,59.39922750468164,-0.021709727649997877,1.1770962029953094,-1.5271039654763658,-1.3206910032012928,-1.692408493332358,-1.692408493332347
2005,2970886268370.04,82469422,826.3176353,14.0959513,36024.09470470207,4.744695699082975e-12,58.620920129030246,-0.056778261835225316,0.9383661239216353,-2.0968289935361755,-1.318958964937076,-2.5342000963868245,-2.534200096386842
2006,3085761005285.65,82376451,843.7771547,14.43800856,37459.26132804204,4.678913413990553e-12,58.441380692740076,-0.1127974976449202,3.9065965939732066,-1.3961392673627218,-0.3067419242652554,2.090917904700307,2.0909179047003095
